"CpG","p_value_cluster2","FDR_pval_cluster2","bonferroni_pval_cluster2","PC10_pValue_C2"
"cg00445824",1.63833363042444e-06,0.000297339959191264,0.76380588350655,0.925866577323515
"cg00447769",0.00117301430878604,0.0486668886611043,1,0.18933474976404
"cg00450719",0.00114048719759615,0.0478547919026793,1,0.48030124911126
"cg00457867",0.00104077357589477,0.0451365588878442,1,0.647666292513891
"cg00457932",0.000240977156931342,0.0167106528864799,1,0.0623130979928975
"cg00458878",2.46179093578612e-07,5.86269347544276e-05,0.114770909038191,0.500454460200639
"cg00464095",0.00121682993285595,0.0497789326276315,1,0.268215830011804
"cg00478246",8.4500709676767e-10,3.9625757074865e-07,0.000393949913576959,0.630160957573803
"cg00480848",0.000711911266166954,0.0354441947339203,1,0.314381793638584
"cg00480856",9.97503018467393e-05,0.00869730474540237,1,0.4459625711563
"cg00481639",6.32209311254925e-06,0.000934797560389621,1,0.501419470443814
"cg00483893",3.13482551647186e-10,1.64027370281574e-07,0.000146148386920883,0.0784327760516019
"cg00484466",0.000398406480343296,0.023828183039688,1,0.124826817832919
"cg00488323",0.000238234520799354,0.0165549378010651,1,0.370863827985198
"cg00488514",1.20697147747606e-05,0.00162161661539665,1,0.559716802334588
"cg00495775",0.000325329824062137,0.020629682003348,1,0.987591349100448
"cg00495896",0.000134518303431354,0.0109219163574414,1,0.587098706473513
"cg00496629",2.39421908753593e-06,0.000411884312391528,1,0.908116947676633
"cg00500729",0.000105661324957841,0.00909031120529081,1,0.938735067476827
"cg00501242",0.000231914810634129,0.0162246056348929,1,0.832573683541652
"cg00506482",0.000280727146166669,0.0185984826044077,1,0.44918058000005
"cg00506935",0.000979948926758045,0.0435188616112537,1,0.546703730948804
"cg00508817",0.000476021220258239,0.0269523168660886,1,0.0391589107420028
"cg00510689",0.000800812477703173,0.0382526035858519,1,0.238068615155474
"cg00511731",0.0010607465196898,0.0457051362475103,1,0.720829633506716
"cg00520612",2.85627098012242e-13,3.15549582315615e-10,1.33161923737189e-07,0.0543872014096737
"cg00522883",0.000183862808807042,0.0136949932486399,1,0.691067322015091
"cg00523379",0.000195023627833911,0.0143026223861601,1,0.352066490640931
"cg00523628",1.19154994083421e-06,0.000228605475870937,0.555511306366376,0.00445137966984562
"cg00523901",0.000949424256650187,0.0426371751648088,1,0.801830405815074
"cg00528492",0.00029368207912181,0.0191895204520392,1,0.0203965436928284
"cg00532474",1.06235392296289e-05,0.00145798928487078,1,0.287582922358401
"cg00532659",0.000705591605722868,0.035208515135658,1,0.134983738649212
"cg00542224",0.000719797219779837,0.0356805219862223,1,0.592455939399843
"cg00545749",0.000369101121809781,0.022577794458271,1,0.535637569511855
"cg00545804",0.000750370793335802,0.0366544024717405,1,0.613689499840843
"cg00546180",1.75104631976724e-22,1.63270710738473e-18,8.16353553692367e-17,0.76465629595845
"cg00547727",0.00113096701739319,0.0476184881698296,1,0.582002528454362
"cg00550703",0.000870170368572716,0.0403863869947155,1,0.404468275682033
"cg00557840",0.000228557324836571,0.0160570441366899,1,0.352545989397372
"cg00559845",3.47756965383547e-07,7.95132060198617e-05,0.162127427074498,0.799742130207759
"cg00561803",0.000187723674526759,0.0139072726167878,1,0.876675565171441
"cg00562070",4.08302415557297e-05,0.00435213336826099,1,0.646015986996783
"cg00562750",0.000649281288604989,0.0332490363603554,1,0.822608151921362
"cg00562905",0.000942838273812128,0.0424744040895105,1,0.216894917355976
"cg00563061",2.83424113822075e-05,0.00324177803436888,1,0.356410143693542
"cg00563847",1.7135018398617e-06,0.000307960670493479,0.798849979260084,0.113728318025633
"cg00566899",0.000805658174563258,0.0383631370551313,1,0.0281893326415823
"cg00568164",1.58897553854938e-14,2.32224042900178e-11,7.40794696851567e-09,0.497433244709272
"cg00570469",3.75627382058036e-06,0.000602618259332053,1,0.13411310506067
"cg00571178",1.947915029862e-05,0.00239424075443431,1,0.92145567263474
"cg00572843",2.07270815581583e-06,0.000364737291400065,0.966315196614743,0.883228415493977
"cg00573529",1.4716443669767e-19,6.66110532702759e-16,6.86093848683842e-14,0.489012425782556
"cg00575303",0.000268443815537855,0.0180125104775602,1,0.229828725879832
"cg00582583",3.94180488991647e-05,0.00423318452808571,1,0.148042609917628
"cg00589371",8.90700523749038e-06,0.0012545395784789,1,0.394874423665671
"cg00590134",9.46934391087993e-05,0.00833747564749277,1,0.152764354753008
"cg00593048",0.000488717771438838,0.0274544672255367,1,0.574547513197074
"cg00594560",0.000408138774129142,0.0242484987572286,1,0.882441784124694
"cg00595237",0.000619280838135545,0.0321882353301466,1,0.903873671908194
"cg00596833",0.000252999955708288,0.0173032332996031,1,0.747782470761986
"cg00597445",3.00660824775529e-05,0.00339396567694369,1,0.447485610505428
"cg00598730",0.000800379097251506,0.0382397969410256,1,0.222791707856128
"cg00601124",1.27046883199011e-05,0.00169084785524773,1,0.746185420555609
"cg00610844",2.93760829288045e-05,0.0033403400600378,1,0.748815193753799
"cg00612595",0.000207601834611033,0.0149499295199529,1,0.34943959655746
"cg00622384",0.00119903879722709,0.0493299181717057,1,0.693241527734602
"cg00625354",2.92369682937154e-05,0.00332776800567499,1,0.312893493329474
"cg00628788",6.57252180676765e-08,1.83154143395776e-05,0.0306416881901134,0.906099918972153
"cg00629563",0.000843857754969358,0.0395828634758536,1,0.350050368218829
"cg00630237",3.84473369223599e-05,0.004151110351838,1,0.267304244288813
"cg00630991",0.0010089063204545,0.0442651239180096,1,0.327869924801731
"cg00631329",7.53706981997561e-10,3.5746182947111e-07,0.000351384978370101,0.0408269962960381
"cg00632778",2.57375919962794e-07,6.10330469328253e-05,0.119990970269934,0.837593939606136
"cg00634653",0.000743346166595369,0.0364410802294701,1,0.0104789194693363
"cg00637178",5.05740592690047e-06,0.000774067025533271,1,0.710969556035555
"cg00638845",2.08339832422609e-05,0.00252942460765396,1,0.178845335179757
"cg00639041",0.000202905581733923,0.0147280631566608,1,0.907147898812823
"cg00640609",7.0878764098133e-05,0.00667486749809336,1,0.530789734171201
"cg00641391",0.000358940285107744,0.022129223932795,1,0.504185945661667
"cg00647917",0.00110215714173504,0.0468956446920829,1,0.0639360210690182
"cg00648558",3.76017624303609e-06,0.000602829438132603,1,0.299692292738419
"cg00650856",0.0010159189972281,0.0444598310127398,1,0.909502024329014
"cg00653387",2.62858241905683e-13,2.93174349522982e-10,1.22546878100607e-07,0.759900433493471
"cg00654888",4.94556627567839e-13,5.01232066916901e-10,2.30566750781775e-07,0.630657963138739
"cg00661947",0.000586032193388879,0.0309941557399474,1,0.726273692760435
"cg00666641",6.27093248372191e-06,0.000928410658083044,1,0.0446638544894718
"cg00668619",0.000782456115422208,0.0376574876757378,1,0.93196626878945
"cg00671823",0.000521062460990217,0.0287348011445219,1,0.552930613785157
"cg00673557",0.000649229190696959,0.0332490363603554,1,0.468766781547364
"cg00676801",2.16149821968968e-06,0.000376573215061026,1,0.0114199978214741
"cg00678892",0.000125405416009127,0.0103750310953938,1,0.514617205911961
"cg00679792",7.23349515377313e-09,2.60209918375418e-06,0.00337232054214542,0.74313880528675
"cg00683665",9.65077415001495e-05,0.00846683809880376,1,0.0729230574969664
"cg00684125",0.00122278759893284,0.04992333686933,1,0.0959374681205167
"cg00685319",2.11470962873155e-05,0.00255877669686299,1,0.852167151194931
"cg00686453",0.000726028745980111,0.0358869424710889,1,0.106295718680073
"cg00687766",0.000726038410642675,0.0358869424710889,1,0.729608627509361
"cg00691368",0.000122294726311149,0.0101848699640576,1,0.349987456614763
"cg00694302",0.000642057884597461,0.0330134735105655,1,0.48560910995611
"cg00696044",2.08065890221541e-07,5.07333632919949e-05,0.0970021906142942,0.519551046760661
"cg00696901",0.000522420812226806,0.0287824727543662,1,0.431151366675199
"cg00697095",0.000786953767079869,0.0377881273866041,1,0.175618046280888
"cg00701428",0.000523030593078443,0.0288035690281047,1,0.411529746199252
"cg00704796",0.000989272120863596,0.0437952299112806,1,0.356454353169751
"cg00705004",0.000509242104548298,0.0282803159403642,1,0.285253788861696
"cg00705992",3.46913049803875e-05,0.00381876342463077,1,0.697843801794251
"cg00711773",0.00105145789505489,0.0454603666693541,1,0.162818160446408
"cg00712627",0.000829760939633771,0.0390965199281939,1,0.809638113638332
"cg00713435",0.00049145993220823,0.0275852448272173,1,0.54865206441197
"cg00715323",1.08158926338396e-05,0.00147786239417636,1,0.437718322689958
"cg00716961",3.51067605865582e-05,0.00385379979898722,1,0.628122992050907
"cg00720475",0.000157686261061525,0.0122456067151754,1,0.940214590517096
"cg00722081",0.000460370897314759,0.0263251632118504,1,0.444622594220882
"cg00728503",9.17204083321703e-05,0.00816047325346045,1,0.407342757087884
"cg00729133",1.65184379170843e-05,0.00208870204038133,1,0.00751062313733464
"cg00731185",0.000229759810362413,0.0161198030743792,1,0.352649396990138
"cg00733115",3.94564049453297e-05,0.00423318452808571,1,0.356453001415227
"cg00738849",4.07994726226265e-07,9.11844742661653e-05,0.190210813319221,0.134433154527262
"cg00742472",0.00121713638054423,0.0497803834280526,1,0.532582841650189
"cg00743372",5.05286828860299e-06,0.000773626493254947,1,0.0283966618057697
"cg00745389",0.000602766686751749,0.0315956091887389,1,0.460888808141995
"cg00745855",2.9709714708419e-05,0.00336923774860066,1,0.434329517890947
"cg00747362",2.74309868346975e-05,0.00316157164961998,1,0.253209013637334
"cg00748938",0.000228391774020063,0.016050392006952,1,0.780147713180648
"cg00749852",1.94190037792917e-10,1.06760782228064e-07,9.05331433293981e-05,0.776781295320472
"cg00751386",1.54034890727968e-05,0.0019744969032553,1,0.262076021067107
"cg00753748",5.04477888636438e-05,0.00514081162805038,1,0.363304143529584
"cg00756451",0.000476206436668507,0.0269595296457545,1,0.51379089331619
"cg00756808",7.92002864396858e-10,3.7296854889656e-07,0.000369238863407595,0.83618743668917
"cg00761129",1.02888071101402e-05,0.00142336334540396,1,0.0656521056899221
"cg00762397",3.94684524065236e-05,0.00423318452808571,1,0.557863014394706
"cg00762662",5.80886080603176e-07,0.000124169793100379,0.270814318751926,0.479043575699322
"cg00770471",0.00076506225862438,0.0371153913143614,1,0.937469983837421
"cg00770723",1.59107948455081e-08,5.2385280749502e-06,0.00741775575412949,0.777263639535603
"cg00771867",0.000924596665360657,0.0419763644718207,1,0.577659212184757
"cg00775863",1.39123568902007e-05,0.00182348835537478,1,0.0737149421422181
"cg00780971",0.000657227592288197,0.0335089040434261,1,0.365417903549865
"cg00782811",3.94708234795737e-05,0.00423318452808571,1,0.692476052609799
"cg00783104",0.00102355535113958,0.044660532057111,1,0.491227958786526
"cg00785192",9.52885520092459e-09,3.30577579758438e-06,0.00444243805436785,0.875067882791445
"cg00786178",0.00090380943729947,0.0413397464561152,1,0.270755672584917
"cg00790928",0.000504338515791277,0.0280882994992875,1,0.600833034846933
"cg00791851",1.03918063771702e-13,1.24543795868744e-10,4.84475365929413e-08,0.1050344833213
"cg00792184",3.44995367699495e-06,0.000560417928152661,1,0.716604121945865
"cg00799353",0.00116307713988855,0.0484316148499212,1,0.462241765248241
"cg00799658",5.41605734160859e-05,0.00543317448074217,1,0.50725014818623
"cg00800141",1.58374610369202e-05,0.00201957518396104,1,0.373403049033951
"cg00800229",0.00082410247989591,0.0389224995491634,1,0.659484991740246
"cg00806634",0.000854455916273373,0.0398961463177931,1,0.368970223908341
"cg00806704",9.06452697766713e-08,2.42518816101913e-05,0.0422596405773121,0.917035571205591
"cg00809111",0.00064720593166938,0.0331939747192134,1,0.101800674828226
"cg00809729",0.000113298124369186,0.00959855437992728,1,0.382536166723972
"cg00810208",0.000221857557424974,0.0157149288680696,1,0.251030648509767
"cg00811777",0.00116308428164132,0.0484316148499212,1,0.490681729092643
"cg00812861",4.89323616757867e-06,0.000752646235714511,1,0.29233089679596
"cg00814883",0.000877143926198865,0.0405860687817117,1,0.243871534980078
"cg00816397",7.95262968477966e-06,0.00113764576026739,1,0.275797022942382
"cg00818473",7.33581781797626e-15,1.15933026749183e-11,3.42002428910089e-09,0.587108635136116
"cg00819012",0.000624892559190968,0.0323772544040745,1,0.591914399462501
"cg00819338",0.000813430626981454,0.0385904832781517,1,0.0201565669350777
"cg00822399",1.29779100814643e-08,4.36939816828548e-06,0.00605041848116938,0.602512642529898
"cg00823148",0.00116650771867807,0.0484822375834242,1,0.42795458186774
"cg00825503",3.39534601895745e-09,1.35063214347452e-06,0.00158294087215213,0.979915298394347
"cg00827176",9.39685387656654e-07,0.000186500546996177,0.438089784894021,0.788844925579729
"cg00827382",0.000772355444831899,0.0373448516469233,1,0.783016783112126
"cg00828836",6.73676409618114e-09,2.45754307708647e-06,0.00314074005251651,0.537750240021803
"cg00832581",5.6481301033365e-07,0.000121346040891539,0.26332090873464,0.344064344138487
