"CpG","p_value","FDR_pval","bonferroni_pval","PC10_pValue_C3"
"cg10808198",2.43246307184558e-05,0.0453614470504823,1,0.581796690581904
"cg10900417",9.28035332060358e-07,0.00609378062147222,0.432658424124527,0.938266071518597
"cg10998122",1.54437604165679e-05,0.0354921549294251,1,0.00784049646507116
"cg11226403",1.49904387962144e-05,0.0352963509128502,1,0.234030777960454
"cg11275737",2.48437567936208e-05,0.0454211098470477,1,0.663446002036703
"cg11315544",2.47894427855165e-05,0.0454211098470477,1,0.905477182159503
"cg11321070",1.81883507422994e-05,0.0380249901848281,1,0.157937194845216
"cg11418237",5.37112721204068e-06,0.0198735543364942,1,0.140348636581192
"cg11552023",1.6056419054817e-08,0.000374023458128245,0.0074856470711272,0.264242873161834
"cg11747081",1.52039714917967e-05,0.0354744045294855,1,0.86617135882216
"cg12090177",1.3929034291138e-05,0.0338220893116517,1,0.254103849252569
"cg12178316",2.256484347223e-10,1.05199331103449e-05,0.000105199331103449,0.119415694963501
"cg12564349",7.48466394122415e-06,0.0234189106803636,1,0.326029810155182
"cg12597983",2.92998011764264e-07,0.00290634702269374,0.136598310066606,0.446740004060182
"cg12635120",6.09886280122042e-06,0.0210303233086304,1,0.669426473425058
"cg12955459",2.83359270633075e-05,0.04853764954967,1,0.20471357635103
"cg13075600",2.98870045284878e-05,0.0499411845671031,1,0.311674534709114
"cg13361271",3.24722697276963e-06,0.0145566003821919,1,0.406447728155042
"cg13455067",1.63552602653474e-05,0.0358627803096652,1,0.633996547858911
"cg14142171",2.99947073851005e-05,0.0499421519117868,1,0.0578005357293808
"cg14173442",2.72460524305656e-05,0.0471304546838633,1,0.121377978691756
"cg14256008",1.24240288844839e-11,1.44804852055158e-06,5.79219408220634e-06,0.47485319262701
"cg14340114",1.98094547291053e-05,0.0399798531593137,1,0.764825903713046
"cg14366571",4.30050465527051e-10,1.67077831235751e-05,0.000200493397482901,0.179530766145775
"cg14393975",7.29777863925692e-06,0.0231448304872744,1,0.0504898593261322
"cg14487356",2.97688134433702e-05,0.0499226213907201,1,0.0090433064664329
"cg14802684",5.60588841710104e-07,0.00424398055522665,0.261351563304826,0.585261717289753
"cg14823287",2.2768709019627e-06,0.0116648099597047,1,0.397606559012563
"cg14996985",1.88494213839585e-05,0.0389523362322896,1,0.996677410735158
"cg15077769",5.73392257594385e-06,0.0204061550397573,1,0.642534451575911
"cg15086746",1.58808048543041e-05,0.0354921549294251,1,0.0888072524267098
"cg15099042",4.80364113821908e-06,0.0189788197576948,1,0.475659479688595
"cg15108326",8.99088683946564e-07,0.00600639451956731,0.419163236254044,0.817548423377127
"cg15110800",2.4414731138136e-06,0.0119935702072431,1,0.877575092380104
"cg15138986",2.45370356076333e-05,0.0453943921968219,1,0.868138481194902
"cg15171488",1.98071883403079e-05,0.0399798531593137,1,0.499668099839696
"cg15256164",2.93177204457621e-05,0.0493436286328458,1,0.082913323806172
"cg15471825",6.63413902237366e-06,0.0221255438096096,1,0.86615324424934
"cg15483141",7.82227594536955e-06,0.0240667602861162,1,0.343437005252253
"cg15484651",6.9173270039206e-08,0.000957137565683936,0.0322492010517082,0.617909167313055
"cg15493970",7.40568411781662e-12,1.15086552896106e-06,3.45259658688317e-06,0.424124965358947
"cg15495966",8.02623625536119e-06,0.0242980751842577,1,0.725263536186819
"cg15604241",1.7337903473942e-05,0.0365750526727738,1,0.071945236891839
"cg15684274",4.72936006715198e-07,0.00383823086874706,0.220487022754686,0.0255472616359967
"cg15818577",1.36953559117425e-05,0.0337825300754369,1,0.684718867524637
"cg15836231",9.47703300629116e-06,0.0274427209989441,1,0.361746857872973
"cg15907965",1.62617722417256e-06,0.00971972381415726,0.758138457504266,0.439681437260553
"cg15934804",5.22288690975696e-08,0.000901835882707735,0.0243495688331088,0.0528517123292652
"cg16009764",2.17687640660753e-05,0.0421695547296584,1,0.0667429842234729
"cg16055241",5.6958525449204e-06,0.0204061550397573,1,0.0410808727523621
"cg16444629",9.61189373522215e-07,0.00613856351562217,0.448115136640418,0.648467779074048
"cg16618637",2.71232257504223e-06,0.0125198930236422,1,0.000911111719653184
"cg16620283",1.38664765166675e-08,0.000340246113176793,0.00646467615035906,0.564990238294907
"cg16667845",1.9976195727357e-07,0.00232827055846385,0.0931308223385539,0.363657878293209
"cg16878676",2.66725101043086e-06,0.0125198930236422,1,0.751332797593762
"cg16969077",2.52274388206693e-05,0.0459424180669743,1,0.258256289689206
"cg17012502",2.66139348321996e-05,0.0468213431856036,1,0.0550914609679981
"cg17327630",1.91725639423183e-06,0.010900514467054,0.893842186298427,0.533933964233231
"cg17413750",1.57040741975789e-05,0.0354921549294251,1,0.797835678866346
"cg17461278",4.35312838677638e-07,0.00375827339272339,0.202946763207063,0.498005202298889
"cg17502213",2.03424774470101e-06,0.0111914459906668,0.948384606809315,0.448526406259334
"cg17605021",1.04961496325936e-05,0.0289550261778806,1,0.0086444168790914
"cg17764446",5.36233285252692e-06,0.0198735543364942,1,0.557265069983867
"cg18113332",3.38682349833788e-07,0.00328951582570126,0.15789675963366,0.785314580937686
"cg18224468",1.72782176883934e-05,0.0365750526727738,1,0.644002140259299
"cg18263587",4.86357868709021e-08,0.000872093906203708,0.0226744415612964,0.594726936107601
"cg18358845",1.60228392611024e-05,0.0354921549294251,1,0.168676715855331
"cg18395615",1.94409123169544e-05,0.0397523170630482,1,0.38889805836921
"cg18466911",2.58655766615512e-06,0.0123048618671481,1,0.00408365409028044
"cg18530511",1.66995047423986e-09,5.19030627096593e-05,0.00077854594064489,0.0915070291211044
"cg18596683",2.7090678377447e-06,0.0125198930236422,1,0.979819408576906
"cg18723572",1.568335098792e-05,0.0354921549294251,1,0.239167939146958
"cg19035181",3.79002095668002e-06,0.0159183953170526,1,0.870988056056949
"cg19041462",7.83161062265044e-06,0.0240667602861162,1,0.0574230030346641
"cg19183248",1.70754492351067e-05,0.0365750526727738,1,0.475881933136682
"cg19234484",1.12853902182655e-05,0.0301861542094241,1,0.617073956570509
"cg19728223",2.35036718526553e-08,0.000490535181029396,0.0109576233507546,0.0262660308805348
"cg19815634",3.93792822467456e-07,0.00355540979366407,0.18358975796973,0.688950233652424
"cg19824990",7.89820514785383e-06,0.0240667602861162,1,0.57211910546451
"cg19847637",9.14332197642466e-06,0.0266418687206685,1,0.814856020140077
"cg20173334",1.8121810198146e-05,0.0380249901848281,1,0.0365974648138637
"cg20185525",1.88825783897296e-05,0.0389523362322896,1,0.11355864417979
"cg20282837",2.13518771586613e-05,0.041650365264696,1,0.701322139125512
"cg20327543",1.68475782764664e-08,0.000374023458128245,0.00785449262069314,0.480742294697947
"cg20336222",1.13309202238679e-05,0.0301861542094241,1,0.0617321655586647
"cg20385284",1.79337510764172e-06,0.0104510951944817,0.836087615558538,0.826217279998451
"cg20469879",1.16015534162238e-06,0.0072116648221657,0.540874861662428,0.293741673199706
"cg20884697",1.63893691186867e-05,0.0358627803096652,1,0.858516851375615
"cg21005240",3.62193052174361e-07,0.00344607470737054,0.168857660661156,0.378378360926278
"cg21381779",2.19945996340229e-05,0.0421978613200749,1,0.0798418277472776
"cg21547979",5.10194158452068e-06,0.0194964842965394,1,0.318147081969377
"cg21687703",1.58603731572205e-05,0.0354921549294251,1,0.0568318076155108
"cg21742931",3.89753671387994e-06,0.0160820270203914,1,0.605211554038512
"cg21824733",1.97335878626519e-11,1.83999525277182e-06,9.19997626385909e-06,0.534785549834377
"cg21919602",2.56512834731147e-05,0.0462230278998659,1,0.116961994640244
"cg22079019",5.71495744345906e-06,0.0204061550397573,1,0.708287153786977
"cg22105613",1.34596964536764e-05,0.0335563188447703,1,0.0297057192342931
"cg22435267",2.84472026587381e-05,0.04853764954967,1,0.509161838691195
"cg22474130",3.22892974285771e-11,2.15050872355422e-06,1.50535610648795e-05,0.325020435754901
"cg22501388",2.01923317799173e-05,0.0400589225820574,1,0.0919263825530065
"cg22672606",9.01843628865405e-07,0.00600639451956731,0.420447616369712,0.383419933409745
"cg22800273",8.44626153251737e-10,2.81265938772385e-05,0.000393772314281339,0.273240853255497
"cg22812280",2.82968028785054e-05,0.04853764954967,1,0.915998395693725
"cg22885965",2.42001101730685e-08,0.000490535181029396,0.0112823091636761,0.569298344244126
"cg23055818",6.09819703483044e-08,0.000917107852068151,0.0284303434141127,0.122949057299767
"cg23189175",6.01951734313677e-08,0.000917107852068151,0.0280635316102645,0.432322909254374
"cg23319790",4.75106556613879e-07,0.00383823086874706,0.2214989526524,0.821342824651415
"cg23343973",2.22754750378049e-06,0.0116648099597047,1,0.00936093284381791
"cg23497704",2.53525143883451e-07,0.0025694718218426,0.11819570380476,0.000216544306217003
"cg23571457",2.60866924533259e-05,0.0464192778701245,1,0.00397361642510057
"cg23592953",2.04044303993848e-06,0.0111914459906668,0.951272909206677,0.0212692756825924
"cg23618440",4.2524582761013e-06,0.0173906519337098,1,0.0326294184867287
"cg23722334",7.3533734585596e-07,0.00519425588900244,0.342820888674161,0.107666171602162
"cg23903483",1.19475082989216e-05,0.0309446438696218,1,0.485362227613163
"cg23911661",2.44394503256715e-06,0.0119935702072431,1,0.0294154185668424
"cg23965165",3.89797076698268e-06,0.0160820270203914,1,0.258601336570125
"cg24059115",1.03984301344736e-05,0.0289280522699828,1,0.9608179373057
"cg24210428",9.53158915638565e-07,0.00613856351562217,0.44437126490094,0.0232504191262665
"cg24346686",6.13485361709819e-06,0.0210303233086304,1,0.48261048865152
"cg24368702",8.12213850754447e-08,0.00102340920850373,0.037866140714638,0.281015189282638
"cg24502047",2.30553312068093e-05,0.0436935077503877,1,0.455567227801309
"cg24703018",1.36413829360863e-05,0.0337825300754369,1,0.0455821800230991
"cg24730871",4.31234466642571e-06,0.0174822077790405,1,0.147318550859986
"cg25052148",1.47163204325171e-05,0.0350044950638947,1,0.0887772218577144
"cg25301103",4.13144926143933e-07,0.00363418646929504,0.192611882872637,0.862837030479014
"cg25474372",8.96977977097722e-06,0.0264670383370096,1,0.00366690312691009
"cg25561821",2.23263546059775e-05,0.0426588010430252,1,0.394650082133759
"cg25583086",6.64417918432578e-06,0.0221255438096096,1,0.335810882661424
"cg25698915",1.1780635411192e-05,0.0306828952760694,1,0.004742123755729
"cg25738373",6.61667114762078e-06,0.0221255438096096,1,0.170833392632291
"cg25840208",5.64396642759046e-07,0.00424398055522665,0.263126794424052,0.16271920037938
"cg25924823",4.63673821368654e-07,0.00383823086874706,0.216168908586459,0.0718162220499679
"cg25930186",1.83907120803256e-06,0.0105850808496994,0.857391548825653,0.856691213191313
"cg25932315",3.11026172337684e-06,0.0140779806581922,1,0.485793169671441
"cg25960893",3.57860797021624e-08,0.000695158017994394,0.0166837924318655,0.000237863981354427
"cg26011222",3.73689752447351e-07,0.00348435051597454,0.174217525798727,0.00934053073241954
"cg26027796",1.85219525943599e-05,0.0385495580226068,1,0.723398941456355
"cg26198898",2.47386927585293e-05,0.0454211098470477,1,0.367212284652792
"cg26373379",1.31194135365081e-05,0.0330247162146953,1,0.8994961849937
"cg26416159",2.86114934575362e-05,0.04853764954967,1,0.605957919246315
"cg26446630",1.05315107449223e-07,0.00129207502444197,0.0490988509287947,0.564627138795593
"cg26464887",7.89569070453171e-07,0.00549409263831198,0.368104206766902,0.962800138422155
"cg26531906",7.65821388908648e-08,0.000991757844171422,0.0357032823901712,0.0359366634796257
"cg26858152",4.28564662532396e-08,0.000799202811018264,0.0199800702754566,0.488096181032985
"cg26907087",1.06083404332285e-05,0.0290923752060883,1,0.619996190472439
"cg26933368",1.12987621949478e-05,0.0301861542094241,1,0.486305193913353
"cg26999154",1.12005613727893e-05,0.0301861542094241,1,0.0300360417687743
"cg27092986",2.17989414401002e-05,0.0421695547296584,1,0.0874377945624416
"cg27463181",1.01113666679025e-05,0.0285697584416738,1,0.383078655014161
"cg27530704",2.45270126520994e-05,0.0453943921968219,1,0.435208430088502
