	Similarity	Clost_cluster	CC_bs	Genus	Genus_bs	Species	Species_bs
Seq_0007753	0.46	Unclassified	0.31	Unclassified	0	Unclassified	0
Seq_0006093	0.48	Unclassified	0.31	Unclassified	0	Unclassified	0
Seq_0003185	0.44	Unclassified	0.34	Unclassified	0	Unclassified	0
Seq_0001374	0.46	Unclassified	0.36	Unclassified	0	Unclassified	0
Seq_0008778	0.23	Unclassified	0.38	Unclassified	0	Unclassified	0
Seq_0002406	0.43	Unclassified	0.43	Unclassified	0	Unclassified	0
Seq_0001749	0.49	Unclassified	0.46	Unclassified	0	Unclassified	0
Seq_0007420	0.42	Unclassified	0.48	Unclassified	0	Unclassified	0
Seq_0000872	0.46	Unclassified	0.49	Unclassified	0	Unclassified	0
Seq_0007157	0.47	Unclassified	0.5	Unclassified	0	Unclassified	0
Seq_0000953	0.43	Unclassified	0.52	Unclassified	0	Unclassified	0
Seq_0008596	0.53	Unclassified	0.55	Unclassified	0	Unclassified	0
Seq_0007297	0.44	Unclassified	0.58	Unclassified	0	Unclassified	0
Seq_0006788	0.64	Unclassified	0.58	Unclassified	0	Unclassified	0
Seq_0006504	0.45	Unclassified	0.61	Unclassified	0	Unclassified	0
Seq_0000180	0.78	Unclassified	0.65	Unclassified	0	Unclassified	0
Seq_0007267	0.43	Unclassified	0.67	Unclassified	0	Unclassified	0
Seq_0003998	0.45	Unclassified	0.67	Unclassified	0	Unclassified	0
Seq_0002761	0.47	Unclassified	0.67	Unclassified	0	Unclassified	0
Seq_0004192	0.5	Unclassified	0.67	Unclassified	0	Unclassified	0
Seq_0009268	0.36	Unclassified	0.69	Unclassified	0	Unclassified	0
Seq_0007925	0.54	Unclassified	0.69	Unclassified	0	Unclassified	0
Seq_0005062	0.43	Unclassified	0.7	Unclassified	0	Unclassified	0
Seq_0003380	0.54	Unclassified	0.7	Unclassified	0	Unclassified	0
Seq_0001476	0.43	Unclassified	0.71	Unclassified	0	Unclassified	0
Seq_0001312	0.36	Unclassified	0.72	Unclassified	0	Unclassified	0
Seq_0003845	0.43	Unclassified	0.76	Unclassified	0	Unclassified	0
Seq_0003942	0.98	Unclassified	0.77	Unclassified	0	Unclassified	0
Seq_0005965	0.46	Unclassified	0.78	Unclassified	0	Unclassified	0
Seq_0001452	0.81	Unclassified	0.79	Unclassified	0	Unclassified	0
Seq_0003583	0.52	NA	0.81	Unclassified	0	Unclassified	0
Seq_0008901	0.34	NA	0.82	Unclassified	0	Unclassified	0
Seq_0006633	0.98	NA	0.83	Unclassified	0	Unclassified	0
Seq_0006030	0.45	NA	0.87	Unclassified	0	Unclassified	0
Seq_0005463	0.98	NA	0.87	Unclassified	0	Unclassified	0
Seq_0006734	0.61	NA	0.88	Unclassified	0	Unclassified	0
Seq_0003538	0.49	NA	0.9	Unclassified	0	Unclassified	0
Seq_0002840	0.98	NA	0.9	Unclassified	0	Unclassified	0
Seq_0000113	1	NA	0.9	Unclassified	0	Unclassified	0
Seq_0007421	0.07	NA	0.91	Unclassified	0	Unclassified	0
Seq_0008750	0.47	NA	0.93	Unclassified	0	Unclassified	0
Seq_0003904	0.98	NA	0.93	Unclassified	0	Unclassified	0
Seq_0001884	0.98	NA	0.93	Unclassified	0	Unclassified	0
Seq_0002541	0.35	NA	0.94	Unclassified	0	Unclassified	0
Seq_0006166	0.06	NA	0.95	Unclassified	0	Unclassified	0
Seq_0008814	0.08	NA	0.97	Unclassified	0	Unclassified	0
Seq_0007270	0.37	NA	0.97	Unclassified	0	Unclassified	0
Seq_0004237	0.76	XIVa	0.97	Unclassified	0	Unclassified	0
Seq_0006407	0.07	NA	0.98	Unclassified	0	Unclassified	0
Seq_0002384	0.08	NA	0.98	Unclassified	0	Unclassified	0
Seq_0004609	0.36	NA	0.98	Unclassified	0	Unclassified	0
Seq_0005212	0.61	NA	0.98	Unclassified	0	Unclassified	0
Seq_0001450	0.79	XIVa	0.99	Unclassified	0	Unclassified	0
Seq_0004720	0.34	NA	1	Unclassified	0	Unclassified	0
Seq_0007651	0.35	NA	1	Unclassified	0	Unclassified	0
Seq_0000888	0.35	NA	1	Unclassified	0	Unclassified	0
Seq_0002286	0.35	NA	1	Unclassified	0	Unclassified	0
Seq_0004624	0.38	NA	1	Unclassified	0	Unclassified	0
Seq_0008414	0.38	NA	1	Unclassified	0	Unclassified	0
Seq_0001880	0.39	NA	1	Unclassified	0	Unclassified	0
Seq_0001163	0.39	NA	1	Unclassified	0	Unclassified	0
Seq_0001908	0.39	NA	1	Unclassified	0	Unclassified	0
Seq_0000868	0.41	NA	1	Unclassified	0	Unclassified	0
Seq_0003742	0.44	NA	1	Unclassified	0	Unclassified	0
Seq_0004783	0.47	NA	1	Unclassified	0	Unclassified	0
Seq_0001466	0.5	NA	1	Unclassified	0	Unclassified	0
Seq_0001501	0.54	NA	1	Unclassified	0	Unclassified	0
Seq_0002251	0.56	NA	1	Unclassified	0	Unclassified	0
Seq_0006932	0.56	NA	1	Unclassified	0	Unclassified	0
Seq_0006306	0.56	NA	1	Unclassified	0	Unclassified	0
Seq_0007313	0.57	NA	1	Unclassified	0	Unclassified	0
Seq_0009899	0.59	NA	1	Unclassified	0	Unclassified	0
Seq_0000216	0.6	NA	1	Unclassified	0	Unclassified	0
Seq_0001290	0.6	NA	1	Unclassified	0	Unclassified	0
Seq_0007491	0.68	NA	1	Unclassified	0	Unclassified	0
Seq_0007948	0.73	NA	1	Unclassified	0	Unclassified	0
Seq_0002448	0.73	XIVa	1	Unclassified	0	Unclassified	0
Seq_0001769	0.78	XIVa	1	Unclassified	0	Unclassified	0
Seq_0004826	0.8	XIVa	1	Unclassified	0	Unclassified	0
Seq_0005312	0.87	NA	1	Unclassified	0	Unclassified	0
Seq_0001228	0.87	XIVa	1	Unclassified	0	Unclassified	0
Seq_0006954	0.87	NA	1	Unclassified	0	Unclassified	0
Seq_0004697	0.88	XIVa	1	Unclassified	0	Unclassified	0
Seq_0009813	0.93	NA	1	Unclassified	0	Unclassified	0
Seq_0007366	0.94	NA	1	Unclassified	0	Unclassified	0
Seq_0002200	0.96	NA	1	Unclassified	0	Unclassified	0
Seq_0003975	0.98	NA	1	Unclassified	0	Unclassified	0
Seq_0002180	0.98	NA	1	Unclassified	0	Unclassified	0
Seq_0000992	0.98	NA	1	Unclassified	0	Unclassified	0
Seq_0001861	0.98	NA	1	Unclassified	0	Unclassified	0
Seq_0002127	0.98	NA	1	Unclassified	0	Unclassified	0
Seq_0002374	0.98	NA	1	Unclassified	0	Unclassified	0
Seq_0000891	0.98	NA	1	Unclassified	0	Unclassified	0
Seq_0001393	0.98	NA	1	Unclassified	0	Unclassified	0
Seq_0004082	0.98	NA	1	Unclassified	0	Unclassified	0
Seq_0000709	0.98	NA	1	Unclassified	0	Unclassified	0
Seq_0000671	0.98	NA	1	Unclassified	0	Unclassified	0
Seq_0006569	0.98	NA	1	Unclassified	0	Unclassified	0
Seq_0001381	0.98	NA	1	Unclassified	0	Unclassified	0
Seq_0000269	0.98	NA	1	Unclassified	0	Unclassified	0
Seq_0001850	0.98	NA	1	Unclassified	0	Unclassified	0
Seq_0005168	0.98	NA	1	Unclassified	0	Unclassified	0
Seq_0003895	0.98	NA	1	Unclassified	0	Unclassified	0
Seq_0006448	0.98	NA	1	Unclassified	0	Unclassified	0
Seq_0001641	0.98	NA	1	Unclassified	0	Unclassified	0
Seq_0007929	0.99	NA	1	Unclassified	0	Unclassified	0
Seq_0001767	1	NA	1	Unclassified	0	Unclassified	0
Seq_0000778	1	NA	1	Unclassified	0	Unclassified	0
Seq_0000605	1	NA	1	Unclassified	0	Unclassified	0
Seq_0000703	1	NA	1	Unclassified	0	Unclassified	0
Seq_0000499	1	NA	1	Unclassified	0	Unclassified	0
Seq_0002042	1	NA	1	Unclassified	0	Unclassified	0
Seq_0001766	1	NA	1	Unclassified	0	Unclassified	0
Seq_0000354	1	NA	1	Unclassified	0	Unclassified	0
Seq_0001803	1	NA	1	Unclassified	0	Unclassified	0
Seq_0003878	1	NA	1	Unclassified	0	Unclassified	0
Seq_0000363	1	NA	1	Unclassified	0	Unclassified	0
Seq_0000168	1	NA	1	Unclassified	0	Unclassified	0
Seq_0000001	1	NA	1	Unclassified	0	Unclassified	0
Seq_0000114	1	NA	1	Unclassified	0	Unclassified	0
Seq_0002293	1	NA	1	Unclassified	0	Unclassified	0
Seq_0000450	1	NA	1	Unclassified	0	Unclassified	0
Seq_0002731	1	NA	1	Unclassified	0	Unclassified	0
Seq_0002308	1	NA	1	Unclassified	0	Unclassified	0
Seq_0000273	1	NA	1	Unclassified	0	Unclassified	0
Seq_0008343	1	NA	1	Unclassified	0	Unclassified	0
Seq_0001650	1	NA	1	Unclassified	0	Unclassified	0
Seq_0002458	1	NA	1	Unclassified	0	Unclassified	0
Seq_0000179	1	NA	1	Unclassified	0	Unclassified	0
Seq_0000337	1	NA	1	Unclassified	0	Unclassified	0
Seq_0001080	1	NA	1	Unclassified	0	Unclassified	0
Seq_0000365	1	NA	1	Unclassified	0	Unclassified	0
Seq_0001960	1	NA	1	Unclassified	0	Unclassified	0
Seq_0000434	1	NA	1	Unclassified	0	Unclassified	0
Seq_0006362	1	NA	1	Unclassified	0	Unclassified	0
Seq_0003329	1	NA	1	Unclassified	0	Unclassified	0
Seq_0005949	1	NA	1	Unclassified	0	Unclassified	0
Seq_0005182	1	NA	1	Unclassified	0	Unclassified	0
Seq_0003242	1	NA	1	Unclassified	0	Unclassified	0
Seq_0002589	1	NA	1	Unclassified	0	Unclassified	0
Seq_0005194	1	NA	1	Unclassified	0	Unclassified	0
Seq_0004615	1	NA	1	Unclassified	0	Unclassified	0
Seq_0006034	1	NA	1	Unclassified	0	Unclassified	0
Seq_0001098	1	XI	1	Unclassified	0	Unclassified	0
Seq_0004545	0.49	NA	0.98	Unclassified	0.01	Unclassified	0
Seq_0002506	0.47	NA	0.98	Unclassified	0.01	Unclassified	0.01
Seq_0007604	0.07	NA	1	Unclassified	0.01	Unclassified	0
Seq_0002152	0.42	NA	1	Unclassified	0.01	Unclassified	0.01
Seq_0004137	0.5	Unclassified	0.44	Unclassified	0.02	Unclassified	0.02
Seq_0001243	0.46	Unclassified	0.68	Unclassified	0.02	Unclassified	0.02
Seq_0000211	0.49	NA	0.97	Unclassified	0.02	Unclassified	0.02
Seq_0007958	0.45	NA	1	Unclassified	0.02	Unclassified	0
Seq_0006721	0.44	NA	1	Unclassified	0.02	Unclassified	0.01
Seq_0009281	0.1	NA	1	Unclassified	0.02	Unclassified	0.02
Seq_0005150	0.42	Unclassified	0.33	Unclassified	0.03	Unclassified	0.03
Seq_0002440	0.46	Unclassified	0.49	Unclassified	0.03	Unclassified	0.03
Seq_0001980	0.5	Unclassified	0.73	Unclassified	0.03	Unclassified	0.03
Seq_0006891	0.3	NA	1	Unclassified	0.03	Unclassified	0
Seq_0007096	0.36	NA	1	Unclassified	0.03	Unclassified	0
Seq_0002804	0.47	NA	1	Unclassified	0.03	Unclassified	0.03
Seq_0002892	0.4	Unclassified	0.09	Unclassified	0.04	Unclassified	0.02
Seq_0000994	0.42	Unclassified	0.37	Unclassified	0.04	Unclassified	0.04
Seq_0000326	0.79	XIVa	0.95	Unclassified	0.04	Unclassified	0.04
Seq_0008864	0.09	NA	1	Unclassified	0.04	Unclassified	0.04
Seq_0003374	0.38	NA	1	Unclassified	0.04	Unclassified	0.04
Seq_0001994	0.49	Unclassified	0.05	Unclassified	0.05	Unclassified	0.05
Seq_0004565	0.4	Unclassified	0.34	Unclassified	0.05	Unclassified	0.05
Seq_0005246	0.47	Unclassified	0.48	Unclassified	0.05	Unclassified	0.05
Seq_0002657	0.5	Unclassified	0.61	Unclassified	0.05	Unclassified	0.05
Seq_0006674	0.5	Unclassified	0.79	Unclassified	0.05	Unclassified	0.05
Seq_0005721	0.09	NA	1	Unclassified	0.05	Unclassified	0.05
Seq_0003006	0.52	Unclassified	0.39	Unclassified	0.06	Unclassified	0.06
Seq_0000170	0.79	XIVa	0.8	Unclassified	0.06	Unclassified	0.06
Seq_0002845	0.39	Unclassified	0.07	Unclassified	0.07	Unclassified	0.07
Seq_0000415	0.64	Unclassified	0.44	Unclassified	0.07	Unclassified	0.07
Seq_0005570	0.36	Unclassified	0.63	Unclassified	0.07	Unclassified	0.07
Seq_0009110	0.28	NA	0.9	Unclassified	0.07	Unclassified	0.05
Seq_0003647	0.38	NA	0.9	Unclassified	0.07	Unclassified	0.07
Seq_0006132	0.66	NA	1	Unclassified	0.07	Unclassified	0
Seq_0006865	0.52	Unclassified	0.4	Unclassified	0.08	Unclassified	0.08
Seq_0005742	0.49	NA	0.9	Unclassified	0.08	Unclassified	0.05
Seq_0004330	0.47	NA	1	Unclassified	0.08	Unclassified	0
Seq_0007981	0.36	NA	1	Unclassified	0.08	Unclassified	0.05
Seq_0004555	0.07	NA	1	Unclassified	0.08	Unclassified	0.08
Seq_0005932	0.54	Unclassified	0.16	Unclassified	0.09	Unclassified	0.09
Seq_0004955	0.49	Unclassified	0.1	Unclassified	0.1	Unclassified	0.1
Seq_0004370	0.35	Unclassified	0.11	Unclassified	0.1	Unclassified	0.1
Seq_0001963	0.6	Unclassified	0.2	Unclassified	0.1	Unclassified	0.1
Seq_0006970	0.4	Unclassified	0.23	Unclassified	0.1	Unclassified	0.1
Seq_0004680	0.45	Unclassified	0.45	Unclassified	0.1	Unclassified	0.1
Seq_0001397	0.54	Unclassified	0.46	Unclassified	0.1	Unclassified	0.1
Seq_0003025	0.62	Unclassified	0.5	Unclassified	0.1	Unclassified	0.1
Seq_0008105	0.68	Unclassified	0.5	Unclassified	0.1	Unclassified	0.1
Seq_0005991	0.52	Unclassified	0.53	Unclassified	0.1	Unclassified	0.1
Seq_0002463	0.46	Unclassified	0.59	Unclassified	0.1	Unclassified	0.1
Seq_0005086	0.51	Unclassified	0.6	Unclassified	0.1	Unclassified	0.1
Seq_0006895	0.59	Unclassified	0.64	Unclassified	0.1	Unclassified	0.1
Seq_0001492	0.5	Unclassified	0.7	Unclassified	0.1	Unclassified	0.1
Seq_0000928	0.54	Unclassified	0.7	Unclassified	0.1	Unclassified	0.1
Seq_0006798	0.56	Unclassified	0.71	Unclassified	0.1	Unclassified	0.1
Seq_0007410	0.47	Unclassified	0.73	Unclassified	0.1	Unclassified	0.05
Seq_0007607	0.31	Unclassified	0.77	Unclassified	0.1	Unclassified	0.1
Seq_0002197	0.37	NA	0.8	Unclassified	0.1	Unclassified	0
Seq_0000528	0.5	NA	0.81	Unclassified	0.1	Unclassified	0.1
Seq_0006051	0.48	NA	0.86	Unclassified	0.1	Unclassified	0.1
Seq_0004729	0.52	NA	0.87	Unclassified	0.1	Unclassified	0.1
Seq_0009295	0.34	NA	0.89	Unclassified	0.1	Unclassified	0.1
Seq_0000997	0.47	NA	0.89	Unclassified	0.1	Unclassified	0.1
Seq_0003888	0.35	NA	0.9	Unclassified	0.1	Unclassified	0
Seq_0001306	0.49	NA	0.98	Unclassified	0.1	Unclassified	0.1
Seq_0004671	0.37	NA	1	Unclassified	0.1	Unclassified	0
Seq_0002627	0.38	NA	1	Unclassified	0.1	Unclassified	0.08
Seq_0009374	0.33	NA	1	Unclassified	0.1	Unclassified	0.1
Seq_0002032	0.42	NA	1	Unclassified	0.1	Unclassified	0.1
Seq_0000531	0.43	NA	1	Unclassified	0.1	Unclassified	0.1
Seq_0004307	0.42	Unclassified	0.48	Unclassified	0.11	Unclassified	0.11
Seq_0004651	0.39	NA	0.91	Unclassified	0.11	Unclassified	0.1
Seq_0001945	0.54	NA	0.94	Unclassified	0.11	Unclassified	0.11
Seq_0000893	0.68	NA	1	Unclassified	0.11	Unclassified	0.1
Seq_0002354	0.96	NA	1	Unclassified	0.11	Unclassified	0.11
Seq_0005811	0.39	Unclassified	0.15	Unclassified	0.12	Unclassified	0.01
Seq_0001408	0.51	Unclassified	0.41	Unclassified	0.12	Unclassified	0.12
Seq_0007086	0.51	Unclassified	0.48	Unclassified	0.12	Unclassified	0.12
Seq_0007781	0.44	Unclassified	0.51	Unclassified	0.12	Unclassified	0.12
Seq_0000453	0.48	Unclassified	0.58	Unclassified	0.12	Unclassified	0.12
Seq_0006799	0.43	Unclassified	0.59	Unclassified	0.12	Unclassified	0.01
Seq_0005497	0.36	NA	0.81	Unclassified	0.12	Unclassified	0.12
Seq_0000984	0.46	NA	1	Unclassified	0.12	Unclassified	0.11
Seq_0000399	0.43	NA	1	Unclassified	0.12	Unclassified	0.12
Seq_0001872	0.43	NA	1	Unclassified	0.12	Unclassified	0.12
Seq_0002447	0.68	NA	1	Unclassified	0.12	Unclassified	0.12
Seq_0000964	0.46	Unclassified	0.24	Unclassified	0.13	Unclassified	0.13
Seq_0004888	0.72	Unclassified	0.75	Unclassified	0.13	Unclassified	0.13
Seq_0000217	0.48	NA	0.81	Unclassified	0.13	Unclassified	0.13
Seq_0001547	0.59	Unclassified	0.32	Unclassified	0.14	Unclassified	0.14
Seq_0005934	0.47	Unclassified	0.48	Unclassified	0.14	Unclassified	0.12
Seq_0000956	0.77	Unclassified	0.75	Unclassified	0.14	Unclassified	0.14
Seq_0001337	0.43	NA	1	Unclassified	0.14	Unclassified	0.14
Seq_0005980	0.46	Unclassified	0.41	Unclassified	0.15	Unclassified	0.15
Seq_0001740	0.46	Unclassified	0.45	Unclassified	0.15	Unclassified	0.15
Seq_0007233	0.54	Unclassified	0.6	Unclassified	0.15	Unclassified	0.15
Seq_0007205	0.46	Unclassified	0.69	Unclassified	0.15	Unclassified	0.15
Seq_0006886	0.51	Unclassified	0.72	Unclassified	0.15	Unclassified	0.15
Seq_0001400	0.85	Unclassified	0.73	Unclassified	0.15	Unclassified	0.13
Seq_0003874	0.52	NA	0.86	Unclassified	0.15	Unclassified	0.15
Seq_0002673	0.68	NA	1	Unclassified	0.15	Unclassified	0
Seq_0007064	0.68	NA	1	Unclassified	0.15	Unclassified	0
Seq_0007617	0.46	Unclassified	0.24	Unclassified	0.16	Unclassified	0.16
Seq_0005951	0.45	Unclassified	0.3	Unclassified	0.16	Unclassified	0
Seq_0003561	0.69	Unclassified	0.4	Unclassified	0.16	Unclassified	0.16
Seq_0003074	0.56	NA	0.86	Unclassified	0.16	Unclassified	0.16
Seq_0002247	0.47	NA	1	Unclassified	0.16	Unclassified	0.16
Seq_0002238	0.46	Unclassified	0.17	Unclassified	0.17	Unclassified	0.15
Seq_0002598	0.61	Unclassified	0.17	Unclassified	0.17	Unclassified	0.17
Seq_0003599	0.42	Unclassified	0.55	Unclassified	0.17	Unclassified	0.17
Seq_0008063	0.51	NA	0.8	Unclassified	0.17	Unclassified	0.17
Seq_0002008	0.8	XIVa	0.85	Unclassified	0.17	Unclassified	0.17
Seq_0001920	0.78	XIVa	0.9	Unclassified	0.17	Unclassified	0.17
Seq_0007961	0.35	NA	1	Unclassified	0.17	Unclassified	0.1
Seq_0006015	0.41	NA	1	Unclassified	0.17	Unclassified	0.15
Seq_0000809	0.34	NA	1	Unclassified	0.17	Unclassified	0.17
Seq_0005030	0.4	NA	1	Unclassified	0.17	Unclassified	0.17
Seq_0009099	0.46	Unclassified	0.1	Unclassified	0.18	Unclassified	0.1
Seq_0005028	0.6	Unclassified	0.3	Unclassified	0.18	Unclassified	0.18
Seq_0002426	0.4	Unclassified	0.39	Unclassified	0.18	Unclassified	0.06
Seq_0001154	0.56	Unclassified	0.48	Unclassified	0.18	Unclassified	0.18
Seq_0002140	0.62	Unclassified	0.55	Unclassified	0.18	Unclassified	0.18
Seq_0004682	0.5	Unclassified	0.61	Unclassified	0.18	Unclassified	0.18
Seq_0000155	0.5	NA	0.8	Unclassified	0.18	Unclassified	0.17
Seq_0006363	0.28	NA	0.9	Unclassified	0.18	Unclassified	0.18
Seq_0002474	0.37	NA	1	Unclassified	0.18	Unclassified	0.01
Seq_0002199	0.51	NA	1	Unclassified	0.18	Unclassified	0.07
Seq_0003899	0.45	Unclassified	0.16	Unclassified	0.19	Unclassified	0
Seq_0009128	0.46	Unclassified	0.19	Unclassified	0.19	Unclassified	0.18
Seq_0002570	0.75	Unclassified	0.32	Unclassified	0.19	Unclassified	0.19
Seq_0002557	0.57	Unclassified	0.34	Unclassified	0.19	Unclassified	0.14
Seq_0009360	0.62	NA	0.81	Unclassified	0.19	Unclassified	0.19
Seq_0004231	0.35	NA	0.92	Unclassified	0.19	Unclassified	0.04
Seq_0007274	0.07	NA	0.93	Unclassified	0.19	Unclassified	0.19
Seq_0000978	0.46	NA	1	Unclassified	0.19	Unclassified	0.19
Seq_0009509	0.6	Unclassified	0.31	Unclassified	0.2	Unclassified	0.2
Seq_0002778	0.39	Unclassified	0.37	Unclassified	0.2	Unclassified	0.14
Seq_0001133	0.72	Unclassified	0.38	Unclassified	0.2	Unclassified	0.2
Seq_0005149	0.46	Unclassified	0.5	Unclassified	0.2	Unclassified	0.2
Seq_0005882	0.5	Unclassified	0.5	Unclassified	0.2	Unclassified	0.2
Seq_0001199	0.46	Unclassified	0.57	Unclassified	0.2	Unclassified	0.2
Seq_0002036	0.42	Unclassified	0.59	Unclassified	0.2	Unclassified	0.2
Seq_0007482	0.54	Unclassified	0.6	Unclassified	0.2	Unclassified	0.2
Seq_0001928	0.75	Unclassified	0.62	Unclassified	0.2	Unclassified	0.2
Seq_0001539	0.49	Unclassified	0.75	Unclassified	0.2	Unclassified	0.2
Seq_0008216	0.35	NA	0.85	Unclassified	0.2	Unclassified	0.2
Seq_0006514	0.48	NA	0.93	Unclassified	0.2	Unclassified	0.2
Seq_0004557	0.44	NA	1	Unclassified	0.2	Unclassified	0.14
Seq_0006555	0.42	NA	1	Unclassified	0.2	Unclassified	0.2
Seq_0000875	0.83	XIVa	1	Unclassified	0.2	Unclassified	0.2
Seq_0005800	0.44	Unclassified	0.26	Unclassified	0.21	Unclassified	0.21
Seq_0004912	0.46	Unclassified	0.3	Unclassified	0.21	Unclassified	0.09
Seq_0008591	0.47	Unclassified	0.31	Unclassified	0.21	Unclassified	0.2
Seq_0002255	0.51	Unclassified	0.36	Unclassified	0.21	Unclassified	0.21
Seq_0000577	0.77	Unclassified	0.45	Unclassified	0.21	Unclassified	0.21
Seq_0006451	0.54	Unclassified	0.48	Unclassified	0.21	Unclassified	0.21
Seq_0002496	0.52	Unclassified	0.63	Unclassified	0.21	Unclassified	0.18
Seq_0005789	0.5	Unclassified	0.75	Unclassified	0.21	Unclassified	0.17
Seq_0007159	0.37	NA	0.94	Unclassified	0.21	Unclassified	0
Seq_0005057	0.68	NA	1	Unclassified	0.21	Unclassified	0.11
Seq_0000840	0.65	NA	1	Unclassified	0.21	Unclassified	0.16
Seq_0001761	0.39	NA	1	Unclassified	0.21	Unclassified	0.2
Seq_0004951	0.46	NA	1	Unclassified	0.21	Unclassified	0.21
Seq_0001625	0.6	NA	1	Unclassified	0.21	Unclassified	0.21
Seq_0005266	0.52	Unclassified	0.28	Unclassified	0.22	Unclassified	0.17
Seq_0006344	0.56	Unclassified	0.42	Unclassified	0.22	Unclassified	0.22
Seq_0009306	0.58	Unclassified	0.47	Unclassified	0.22	Unclassified	0.11
Seq_0002262	0.45	Unclassified	0.54	Unclassified	0.22	Unclassified	0.22
Seq_0003024	0.74	Unclassified	0.63	Unclassified	0.22	Unclassified	0.22
Seq_0003610	0.51	Unclassified	0.75	Unclassified	0.22	Unclassified	0.22
Seq_0005507	0.68	NA	1	Unclassified	0.22	Unclassified	0
Seq_0000749	0.46	NA	1	Unclassified	0.22	Unclassified	0.22
Seq_0003422	0.47	Unclassified	0.39	Unclassified	0.23	Unclassified	0.23
Seq_0002154	0.77	Unclassified	0.46	Unclassified	0.23	Unclassified	0.23
Seq_0002742	0.45	Unclassified	0.59	Unclassified	0.23	Unclassified	0.23
Seq_0001362	0.63	NA	0.98	Unclassified	0.23	Unclassified	0.23
Seq_0004870	0.85	NA	1	Unclassified	0.23	Unclassified	0.18
Seq_0002006	0.43	NA	1	Unclassified	0.23	Unclassified	0.23
Seq_0000486	0.8	Unclassified	0.12	Unclassified	0.24	Unclassified	0.11
Seq_0001954	0.75	Unclassified	0.37	Unclassified	0.24	Unclassified	0.24
Seq_0007760	0.49	Unclassified	0.62	Unclassified	0.24	Unclassified	0.24
Seq_0002235	0.51	NA	0.8	Unclassified	0.24	Unclassified	0.2
Seq_0000497	0.7	IV	1	Unclassified	0.24	Unclassified	0.24
Seq_0004997	0.5	Unclassified	0.25	Unclassified	0.25	Unclassified	0.25
Seq_0005343	0.59	Unclassified	0.25	Unclassified	0.25	Unclassified	0.25
Seq_0005453	0.6	Unclassified	0.47	Unclassified	0.25	Unclassified	0.25
Seq_0005157	0.51	Unclassified	0.55	Unclassified	0.25	Unclassified	0.25
Seq_0004309	0.6	Unclassified	0.61	Unclassified	0.25	Unclassified	0.25
Seq_0008827	0.53	Unclassified	0.78	Unclassified	0.25	Unclassified	0.15
Seq_0002470	0.48	NA	0.85	Unclassified	0.25	Unclassified	0.25
Seq_0005060	0.41	NA	1	Unclassified	0.25	Unclassified	0.25
Seq_0001813	0.43	NA	1	Unclassified	0.25	Unclassified	0.25
Seq_0006163	0.66	NA	1	Unclassified	0.25	Unclassified	0.25
Seq_0001552	0.63	Unclassified	0.45	Unclassified	0.26	Unclassified	0.01
Seq_0008043	0.52	Unclassified	0.57	Unclassified	0.26	Unclassified	0.26
